=== PER-NEFF ENGINE UTILIZATION (760 NEFFs, by wall time) ===
neff              tot_us  %oftot  tensor%  gpsimd%  vector%    dma%  class
6a26c3db6f7c4c     531.1    0.3%      3.8      1.1      0.8    82.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
0a75736b338169     524.4    0.3%      3.9      1.1      0.8    81.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
abaa610c246dcb     517.0    0.3%     89.1     12.5      6.4    17.6  COMPUTE-BOUND (matmul-hot)
e1e3bb0bca2cf5     507.4    0.3%     90.3     12.9      6.7    18.9  COMPUTE-BOUND (matmul-hot)
0c0e494ae26123     506.6    0.3%     90.5     13.8      7.8    19.2  COMPUTE-BOUND (matmul-hot)
fe1efcb16e3554     495.3    0.3%     53.3     43.1     50.8    82.0  COMPUTE-BOUND (matmul-hot)
25c8652144ac8a     478.6    0.3%     51.6      6.9      4.7    54.8  COMPUTE-BOUND (matmul-hot)
02858a5535ae5c     474.6    0.3%     52.0      7.4      5.0    55.9  COMPUTE-BOUND (matmul-hot)
f354382e95b9ed     470.1    0.3%     52.5      6.9      4.7    55.2  COMPUTE-BOUND (matmul-hot)
054ced60a359f1     466.7    0.3%     46.5     45.8     13.5    83.8  COMPUTE-BOUND (matmul-hot)
2b1bd7d4f6010d     440.1    0.3%      0.5     34.9     92.9    85.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9a836738ba1ba1     416.6    0.3%     39.5     35.7     40.1    88.8  MIXED
d428a171b92939     389.1    0.3%      0.6      5.4     13.1    19.6  MIXED
9cc1ae9ef0048f     372.4    0.2%     42.2     52.7     42.7    76.6  COMPUTE-BOUND (matmul-hot)
1ace87341d2f65     366.6    0.2%      0.6      8.4      0.5    97.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
14265bafb5633f     361.7    0.2%      0.6     14.5     32.7    63.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
6a3116756a1d4b     361.0    0.2%     51.6     40.7     51.4    74.5  COMPUTE-BOUND (matmul-hot)
0ed08cdbbcb260     357.5    0.2%      0.6     74.7     94.2    25.4  MIXED
168e1640993574     345.4    0.2%      0.7     68.0     86.1    59.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
2263cfb2396d82     342.7    0.2%     82.4      7.7     10.5    24.6  COMPUTE-BOUND (matmul-hot)
1d4a4f3b05dbb0     342.2    0.2%     83.0      6.8      9.9    24.5  COMPUTE-BOUND (matmul-hot)
7cd1e14b43f0c1     334.4    0.2%      0.6     14.6      0.6    95.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
79119556b9042c     329.5    0.2%     85.3      7.3     10.3    26.2  COMPUTE-BOUND (matmul-hot)
607d1f60d6f3ea     325.6    0.2%      0.6     89.8      0.6    59.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
416ded696e617f     323.5    0.2%     49.2     40.2     49.3    72.3  COMPUTE-BOUND (matmul-hot)
e00e3e391fadde     292.8    0.2%     54.3      9.6     63.4    22.2  COMPUTE-BOUND (matmul-hot)
bfeefe99f2c757     289.8    0.2%     82.9     12.0      7.6    18.6  COMPUTE-BOUND (matmul-hot)
16046953e1d008     289.5    0.2%     82.7     11.0      6.7    18.9  COMPUTE-BOUND (matmul-hot)
cfd7993c58312d     289.0    0.2%     83.1     11.1      6.9    18.4  COMPUTE-BOUND (matmul-hot)
3b374e879c39de     282.2    0.2%      0.7     67.1     84.2    59.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
4f4d3403675c66     274.4    0.2%      1.2     93.8      0.8    31.3  MIXED
4107a7bd3414ad     270.6    0.2%     49.1     42.4     48.4    71.4  COMPUTE-BOUND (matmul-hot)
ee62ef60712d7a     269.2    0.2%     28.5     64.0     23.3    81.1  MIXED
6adee62c2d02e8     265.8    0.2%      0.2      0.2     39.1    14.8  MIXED
53739e1de31d0e     265.2    0.2%     86.7     13.0     10.6    27.7  COMPUTE-BOUND (matmul-hot)
d59baea7609e85     263.9    0.2%     87.1     12.4     10.3    27.1  COMPUTE-BOUND (matmul-hot)
b0d0b7e888c6c8     263.6    0.2%     88.1     13.1     10.4    27.2  COMPUTE-BOUND (matmul-hot)
457474a9f2d552     251.1    0.2%     43.7     47.1     57.6    67.1  COMPUTE-BOUND (matmul-hot)
246c7a233281b9     248.7    0.2%     74.0     47.5     16.7    69.6  COMPUTE-BOUND (matmul-hot)
25346b5867edb2     239.2    0.2%     41.0     43.0     55.2    60.9  COMPUTE-BOUND (matmul-hot)
fdbbaab1709d3d     235.4    0.2%     82.7      8.8      7.7    22.2  COMPUTE-BOUND (matmul-hot)
5e435d52d205e2     229.2    0.1%     82.7      8.7      7.9    23.1  COMPUTE-BOUND (matmul-hot)
53ced942376b3f     227.9    0.1%     82.9      8.5      8.1    23.0  COMPUTE-BOUND (matmul-hot)
5e05a65e903df7     227.6    0.1%      1.0      9.8     15.2    23.0  MIXED
d855647b0585a6     221.9    0.1%      1.0     41.6     37.3    93.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9d695ec1540744     219.1    0.1%     83.9     14.0     10.2    21.4  COMPUTE-BOUND (matmul-hot)
e57129c87f9e33     217.6    0.1%     84.2     13.3      8.9    21.0  COMPUTE-BOUND (matmul-hot)
4220d5c543b270     217.3    0.1%     84.1     13.5      8.8    21.3  COMPUTE-BOUND (matmul-hot)
7cf276c5787b5c     214.8    0.1%     80.0     15.8     13.5    29.4  COMPUTE-BOUND (matmul-hot)
37182b7390c9ff     212.8    0.1%     71.7     12.0     14.7    38.2  COMPUTE-BOUND (matmul-hot)
2df6ae88abb5cf     211.5    0.1%     72.5     12.2     15.0    38.2  COMPUTE-BOUND (matmul-hot)
bcba4b82667829     211.3    0.1%     72.1     12.4     16.5    38.7  COMPUTE-BOUND (matmul-hot)
6aab3326718571     210.1    0.1%     48.5     46.5     49.6    72.3  COMPUTE-BOUND (matmul-hot)
c62aa00645f85e     209.3    0.1%      1.0     17.1     34.6    62.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
87b013d40c037e     207.1    0.1%     83.7     23.4      3.2    36.5  COMPUTE-BOUND (matmul-hot)
