=== PER-NEFF ENGINE UTILIZATION (760 NEFFs, by wall time) ===
neff              tot_us  %oftot  tensor%  gpsimd%  vector%    dma%  class
64ecbfe3df3626      83.0    0.1%     17.4     42.8      2.7    34.3  MIXED
c1c5876655d679      82.9    0.1%     17.4     42.8      2.7    34.6  MIXED
949a40473f860d      82.9    0.1%     17.3     42.7      2.7    35.2  MIXED
18f2ae7d25b482      82.9    0.1%     17.3     42.6      2.5    33.5  MIXED
522eaa0bee8abb      82.9    0.1%     17.3     42.6      2.5    35.1  MIXED
08f667bb8a005b      82.9    0.1%     17.3     42.6      2.5    33.1  MIXED
d1522a0409a20a      82.8    0.1%     17.4     42.7      2.5    34.1  MIXED
67163d2f44780e      82.6    0.1%      2.7     39.2      2.6    86.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
5f30a49a5484c1      82.0    0.1%     21.4     44.6     16.8    75.7  MIXED
4038e076b37202      79.1    0.1%      2.7     40.7     36.4    86.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
e35d1c9bb9f3c3      78.8    0.1%     52.3     70.6      9.5    70.3  COMPUTE-BOUND (matmul-hot)
90fba011251c83      78.6    0.1%      2.4     24.6     55.9    58.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
45d3dc9b5f5dd6      77.9    0.1%     22.5     42.9     17.7    71.2  MIXED
0aad39df2a6dfb      77.8    0.1%     47.4     26.6     34.8    41.9  COMPUTE-BOUND (matmul-hot)
f60df8165733c3      77.4    0.1%     49.6     26.7     35.0    41.5  COMPUTE-BOUND (matmul-hot)
6c4348fecb7a44      76.3    0.0%     23.2     54.2     18.0    75.4  MIXED
dc070f19591090      76.3    0.0%     23.0     44.0     18.1    73.7  MIXED
235248e93d3fa0      76.1    0.0%     23.2     54.2     18.1    75.9  MIXED
5b6faeeb447803      76.1    0.0%     23.2     44.2     18.4    73.6  MIXED
b0d4057683f29b      76.0    0.0%     23.0     44.1     18.1    74.3  MIXED
2aeb2900d75202      75.9    0.0%     23.3     54.3     18.1    75.0  MIXED
43bdf3cc2b98e2      75.5    0.0%     23.5     54.6     18.2    75.3  MIXED
dd6a89a232cfe2      74.1    0.0%      2.8     15.7     77.8    37.6  MIXED
f2bfa354a26dac      73.8    0.0%      2.9     77.3      3.4    80.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
98449dcf766760      73.5    0.0%      2.9     77.7      3.4    81.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
2ec3734eff7c51      73.5    0.0%      2.9     77.7      3.4    80.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
84078206d5e26b      73.4    0.0%      2.9     77.9      3.6    80.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
34810416a270cd      73.3    0.0%      2.9     77.8      3.4    81.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
a4616e73e2fd78      73.3    0.0%      2.9     77.8      3.4    80.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
e58f3eede2b350      72.9    0.0%      3.0     78.6      3.8    81.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
c43291a49a6e8d      72.8    0.0%      2.9     78.3      3.5    81.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
3579497238c957      72.8    0.0%      2.9     78.3      3.5    81.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
663053294193aa      72.8    0.0%      2.9     78.4      3.5    81.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
33cf0458fc9732      72.8    0.0%      2.9     78.4      3.5    80.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
6e0a0c51827cad      72.8    0.0%      2.9     78.4      3.5    80.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
0c9bd5564e87db      72.7    0.0%      2.9     78.4      3.5    81.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
5649061d6b063a      72.7    0.0%      2.9     78.4      3.5    80.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
7d78ee194f19aa      72.7    0.0%      2.9     78.4      3.5    81.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
83b0a2401819d0      72.6    0.0%      2.9     78.5      3.5    82.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
7311859421757c      70.9    0.0%      3.0     76.4     56.3    71.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
2f15d3c258e4ab      70.7    0.0%      2.7     20.2     56.2    48.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
cac6df1ab18041      70.1    0.0%     55.6     14.3     12.3    31.4  COMPUTE-BOUND (matmul-hot)
44c96de4484fbc      70.1    0.0%     56.1     13.0     12.0    29.9  COMPUTE-BOUND (matmul-hot)
e434fdbecff8a4      69.6    0.0%     55.3     15.9     12.3    30.2  COMPUTE-BOUND (matmul-hot)
0e7fbb7f627be0      69.5    0.0%     71.1     17.1      6.0    32.2  COMPUTE-BOUND (matmul-hot)
ad6179ca027882      68.3    0.0%      3.4     84.6     26.6    82.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
3d5295c35b22ec      67.5    0.0%      3.2     26.0      2.8    84.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9c6a8acce2226d      67.3    0.0%     36.1      9.7     44.5    17.2  MIXED
73f4ffd31a946b      66.3    0.0%      3.6     83.2      3.0    18.0  MIXED
61fd568f0abc30      65.4    0.0%     17.8     12.4     15.6    33.2  MIXED
051f9b4f480355      63.4    0.0%      3.5     27.5     38.1    58.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
fdf1b9fc3c58dc      63.4    0.0%      5.4     21.2     58.6    35.8  MIXED
09989bc1be742c      62.3    0.0%     44.9     27.0     13.1    46.7  COMPUTE-BOUND (matmul-hot)
502ee3634e1c48      60.5    0.0%      3.5     11.8     16.7    22.3  MIXED
10bb007ca803dd      59.7    0.0%     32.0     10.0     44.3    15.1  MIXED
cc9079a83ae6dd      59.7    0.0%      5.7     38.8     61.9    64.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
54ec082662920b      59.5    0.0%     51.1     27.3     32.2    42.8  COMPUTE-BOUND (matmul-hot)
df627ebb1f117f      59.4    0.0%      6.1     38.8     62.3    64.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
34d2f0cd36b7ce      57.1    0.0%      3.7     25.7     35.1    52.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
aa7b444b3fa564      57.0    0.0%      3.7     10.3     16.2    19.1  MIXED
9d7bd9b49fd8c0      56.1    0.0%      4.2     21.9      3.4    80.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
4a906cf296875e      56.0    0.0%      3.8     21.7      3.4    81.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
c0cfbf446cc8b1      55.5    0.0%      4.0      7.4      3.8    77.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9139229e4e7fa5      55.2    0.0%      3.8     44.7     64.6    56.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
27b1734bacbbc2      55.1    0.0%      3.8     79.7     39.3    74.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
3fc736f30a1140      55.1    0.0%      6.4     18.6     61.4    32.9  MIXED
493870c47e0732      54.8    0.0%      3.8     31.7     26.3    75.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
fa7cdaaf63557e      54.7    0.0%     59.0     25.5     14.7    49.3  COMPUTE-BOUND (matmul-hot)
e5d1502b8a4ab1      54.6    0.0%      3.9     23.2     34.3    53.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
d9c736cbe97e22      54.4    0.0%      3.9     31.9     33.3    77.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
1df55991a19cda      53.0    0.0%      4.0     78.8     32.8    77.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
94d1377ea5e280      52.9    0.0%      4.0     79.0     39.4    77.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
7a4a6666266e72      50.8    0.0%      6.7     35.5     54.2    59.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
3137c64dd7003f      50.8    0.0%     30.3     31.0     14.9    48.3  MIXED
8e8b5036dead2f      50.1    0.0%      4.2     22.1     30.2    79.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
ea56d639a94042      48.9    0.0%      4.8     81.0      5.4    65.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
05c329b8f5747a      48.7    0.0%      4.5     81.6      6.7    68.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
b75a611fb001e6      48.7    0.0%      4.5     81.7      5.6    64.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
c4314e71791caf      48.7    0.0%      4.4     81.6      5.2    65.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
fb93f2cf7375a2      48.6    0.0%      4.4     81.5      5.2    65.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
f21308bbbe5f29      48.5    0.0%      4.4     82.0      5.2    65.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
ef721b38ae507c      48.4    0.0%      4.5     25.9      4.3    76.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9911f33eb15dd1      48.2    0.0%      4.6     82.3      4.5    63.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
8151587c3720a3      48.0    0.0%      4.9     81.0      4.2    64.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
f193f37e67bc63      47.7    0.0%      4.4     82.2      4.0    64.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
f2d5ec80625d46      47.6    0.0%      4.5     82.3      4.0    64.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9722bc4428b2ed      46.2    0.0%      5.0     62.1      5.9    76.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
e014a80d4cd984      45.5    0.0%      4.6     37.9      4.2    76.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
6e9d3d1dcc9cc7      44.4    0.0%      4.9     31.3     30.4    46.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
cf31e68d4df036      44.0    0.0%      4.8     55.2     32.3    58.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
dec4a5ded3f494      43.0    0.0%      4.9     18.1      4.4    50.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
d6305731b95bbe      42.9    0.0%     29.2     10.8     38.1    14.2  MIXED
5173af3e4e2df0      42.7    0.0%     34.9     53.1     18.9    59.0  MIXED
83c0f941ee4eed      42.6    0.0%      4.9     29.1     30.4    47.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
3ee1a76de3bf14      42.6    0.0%      4.5     40.8     27.5    67.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
6cc99fca2b9338      42.6    0.0%     31.5     35.8     22.8    55.0  MIXED
43d1347773e1a2      41.9    0.0%     54.1     28.0      9.9    43.6  COMPUTE-BOUND (matmul-hot)
8c8f1025182c9c      41.4    0.0%      5.1     60.3      6.5    74.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
aacc7a36d5ae6b      41.1    0.0%      5.1     36.7     52.5    35.6  MIXED
cbcaf32aa68a09      40.7    0.0%      5.2     68.1     17.9     1.3  MIXED
004940e36fe7bd      40.5    0.0%      5.2     58.5      4.7    71.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9852cb59e8bb43      40.3    0.0%      5.2     58.8      4.7    70.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
847673029bb8d4      40.2    0.0%      5.2     58.8      4.7    71.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
c97914710d2679      40.2    0.0%      5.2     68.9     18.1     1.2  MIXED
7de530095c9970      40.1    0.0%      5.3     59.0      4.7    71.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
5f3341e7911f9d      39.8    0.0%     53.7     29.5      7.1    45.8  COMPUTE-BOUND (matmul-hot)
c79fb0f9df76d0      39.0    0.0%      5.4     65.0     13.6    33.9  MIXED
f540942bc27b96      38.9    0.0%     29.9     37.5     20.0    50.4  MIXED
ccb054759b6705      38.7    0.0%      5.5     34.6      4.9    73.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
78e1f0e3883099      38.6    0.0%      5.7     35.0      5.4    73.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
c2934112196ef4      38.4    0.0%      5.5     31.9     31.7    65.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
05e1355d5cb372      38.0    0.0%     28.9     17.4     37.2    18.0  MIXED
ba5163ec588c74      37.9    0.0%     13.0     14.6     47.1    25.0  MIXED
b6c216c1e79151      37.7    0.0%     29.3     10.5     33.0    11.6  MIXED
ff1abfbd0234a8      37.7    0.0%      5.6     20.6     29.8    50.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
aeec246bc2ede1      36.5    0.0%      5.8     11.0     13.5    16.7  MIXED
0ce380e50df2ed      36.5    0.0%      6.0     30.4     29.2    43.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
242d83c878132b      36.5    0.0%      6.0     27.2     22.8    70.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
5d405b9039d4ed      36.2    0.0%      6.2     27.5     23.2    70.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
b5ab37c2593bc8      36.0    0.0%      5.8     26.9     22.6    70.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
140d4682b43126      35.5    0.0%      6.0     28.6      5.3    62.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
f92926c3790555      35.5    0.0%      1.8      1.8      1.7    66.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
aeb3774af3bbf8      35.3    0.0%      6.0      9.4      5.4    71.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
133bc8258e7045      35.0    0.0%      5.5     35.6      5.4    66.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
ea1aff5146bb67      34.9    0.0%      6.1     68.0      5.4    16.3  MIXED
95073d7b894e5e      34.9    0.0%      6.3     68.8      6.1    16.4  MIXED
84156dd7313dcc      34.7    0.0%      6.1     68.4      5.4    15.9  MIXED
aff864478a6f06      34.6    0.0%      5.5     32.4     29.9    69.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
b7fe24f7b493f2      34.5    0.0%      6.3     32.7      6.1    68.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
036f3a0e38eacc      34.3    0.0%      6.1     15.9     59.9    24.3  MIXED
884e3027a4b35f      34.0    0.0%      6.2     32.8      5.6    70.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
07203a20b6e051      33.6    0.0%     45.6     23.3     10.5    31.3  COMPUTE-BOUND (matmul-hot)
84d9dea2c9411e      33.3    0.0%     35.8     21.5      9.0    23.6  MIXED
b799544a225515      33.1    0.0%      6.4     29.5     21.6    67.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
5e985628614cf6      33.0    0.0%      6.4     29.7     21.9    67.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9177f71aed8480      32.9    0.0%      6.4     29.7     22.2    68.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
08520d771f6a95      32.6    0.0%      2.0      2.0      1.8    71.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
718060bb06137a      32.4    0.0%     35.1     28.6     16.4    38.7  MIXED
e0ee7934a1b4d7      32.3    0.0%     17.4     16.7     11.0    39.9  MIXED
bc006b1c5178fc      32.2    0.0%     17.2     16.8     11.0    41.1  MIXED
dbcb5272450b9c      32.0    0.0%     17.6     16.9     11.1    40.3  MIXED
8322b594867f7b      31.7    0.0%      6.7     30.6     26.0    65.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
51c923784c3642      31.7    0.0%      6.6     10.5     15.3    13.4  MIXED
44cf6623658bcd      31.4    0.0%      7.0     66.9      8.8    63.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
ac7a81b4d3ff20      31.2    0.0%      6.8     66.6      8.1    64.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
6b901f98ef5ad1      31.2    0.0%      6.8     66.5      8.0    64.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
c76cee7189b041      31.2    0.0%      6.8     54.2      6.1    60.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
88f3bb3b52bfe6      31.2    0.0%      6.8     66.7      8.1    64.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
02673e32de6856      31.2    0.0%      6.8     66.7      8.1    64.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
406bdf0c5560b9      31.1    0.0%      6.8     66.9      8.2    64.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
6ef11f2585d8f5      31.1    0.0%      6.8     67.0      8.2    63.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
b7c876a0c3f0d0      31.1    0.0%      6.8     66.9      8.2    64.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
b33ef8c7dc6783      31.0    0.0%      6.8     67.0      8.2    63.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
e2afa68708473b      31.0    0.0%      6.8     67.1      8.2    65.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
485ef0fe8c6a59      31.0    0.0%      6.8     67.1      8.2    64.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
d742d018a122f4      30.9    0.0%      6.8     67.2      8.2    64.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
60d35b58646ce6      30.9    0.0%      6.8     67.2      8.2    64.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
f6107d81866c83      30.9    0.0%      6.8     67.7      8.6    63.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
7f0abb4b1fd360      30.9    0.0%      6.8     35.4      6.3    66.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
a58e84511d9d02      30.9    0.0%      7.2     55.5      6.9    59.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
ec0e22b1e16f74      30.8    0.0%      6.8     67.4      8.2    63.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
11bc4f4b4450f6      30.8    0.0%      6.8     67.5      8.2    64.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
83a7df0dc5b898      30.8    0.0%     30.7     21.3      9.7    25.0  MIXED
3a8f05b784d44a      30.8    0.0%      6.9     55.0      6.2    60.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
411b1dfe00f562      30.7    0.0%      6.9     55.2      6.2    60.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
2bcb2c7496697f      30.7    0.0%     31.1     21.4      9.7    23.7  MIXED
a1f9597f1b5fb2      30.4    0.0%      7.0     30.9      6.2    65.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
67e226c657ad76      30.2    0.0%      7.0     28.3      6.2    63.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
ddd13ea8d15b35      30.1    0.0%      7.3     33.2     21.1    63.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
55018da83a5558      30.0    0.0%      7.0     32.6     20.3    64.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
ea5a61a97bcc12      29.7    0.0%      7.1     32.8     20.8    65.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
b7f1e5aff86cf0      29.7    0.0%      7.1     32.9     20.5    64.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
03270a6b17d389      29.5    0.0%      7.2     50.0      6.7    46.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
28555839b43dbb      29.1    0.0%      7.2     32.8      6.9    17.3  MIXED
66def806d9635d      29.0    0.0%      7.3     33.2     29.9    63.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
1fe2b278ac617f      29.0    0.0%      7.6     27.6     25.6    53.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
fb6d3f60646c45      29.0    0.0%     29.2     44.6      7.9    40.5  MIXED
6f2aed46b3463f      28.9    0.0%      7.3     21.4     26.7    39.7  MIXED
d0b0ccb5dfa05a      28.7    0.0%      7.4     20.6      6.6    64.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
5e514e5299c9cc      28.6    0.0%      6.7     50.1      8.8    51.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
f156a203b3b913      28.5    0.0%      7.0     51.2      9.7    50.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
b818700c9e35db      28.4    0.0%      6.7     50.5      8.9    51.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9af1cbd293a0c4      28.4    0.0%      6.8     50.5      8.9    50.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
8f6c3c18dd6b96      28.4    0.0%      6.8     50.5      8.9    50.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
11e3bac14d4a54      28.4    0.0%      2.3      2.3      2.1    59.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
07bd3e7d02226a      28.3    0.0%      6.8     50.6      8.9    51.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
bf8c2e6e9e6112      28.2    0.0%     25.9     17.4     16.3    15.8  MIXED
f9d7dd489f9bd8      27.9    0.0%      7.6     63.0      9.0    61.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
b1f4ac82c72f6f      27.8    0.0%      7.6     63.3      9.1    61.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
0e404b26d88525      27.8    0.0%      6.9     51.7      9.1    52.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
744b53733502e5      27.7    0.0%      6.9     51.8      9.1    52.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
c9cd3368ac2e1e      27.1    0.0%     23.2     18.9      7.6    14.8  MIXED
ed38719967d31a      27.1    0.0%      7.8     31.2     18.4    58.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
c7fa1346a4d8aa      27.1    0.0%      7.5     53.9     10.3    53.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
670fd32d085edd      26.9    0.0%      8.3     50.3     56.2    31.8  MIXED
9fc43662fe01be      26.9    0.0%      7.9     49.4     55.5    31.7  MIXED
927aafea136bb4      26.8    0.0%      8.2     50.4     56.4    33.4  MIXED
c32a1d87df6591      26.8    0.0%      7.2     53.7      9.4    53.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
eedb1c15a1c7f2      26.7    0.0%      7.2     28.0     21.9    49.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
2858d77f38f826      26.7    0.0%      7.9     49.8     55.7    33.3  MIXED
cd121f757f1974      26.7    0.0%      8.1     53.8      9.6    54.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
7ba907f5d21415      26.7    0.0%      7.2     53.8      9.5    54.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
dda4a094642ff5      26.7    0.0%      7.9     59.1      7.1    55.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
017737cf200b35      26.6    0.0%      8.0     25.6      7.1    45.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
b235ad7609f87b      26.5    0.0%      8.4     60.2      8.1    54.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
414b3cf3541cad      26.4    0.0%     25.3     15.1     22.3     8.5  MIXED
9adba52242c084      26.4    0.0%      8.4     60.6      8.0    53.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
f6bfd0987db32d      26.2    0.0%      8.4     60.9      8.0    53.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
8821a55767042c      26.2    0.0%      7.3     54.8      9.7    55.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
48455b23321299      26.2    0.0%      7.3     54.8      9.6    54.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
ea5b64e3aac07d      26.1    0.0%      7.3     54.9      9.6    55.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
bd46aa16304548      26.1    0.0%      7.4     55.0      9.7    55.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
23e34fdcad2973      25.9    0.0%      2.5      2.5      2.3    64.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
ad837b3d64c384      25.7    0.0%      8.6     28.8     29.6    53.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
c5f62735ed5f86      25.7    0.0%      8.2     21.6     25.2    33.9  MIXED
d0d4e7c889b6b9      25.6    0.0%      8.2     22.9      7.4    58.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
44cdbc5084f5f7      25.5    0.0%      8.3     23.0      7.4    58.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
7bc2addeda78a6      25.5    0.0%      8.3     23.0      7.4    59.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
471db30812d1a8      25.5    0.0%      8.3     23.1      7.5    59.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
1bfe3f82b8ea98      25.2    0.0%      8.4     11.8      7.5    58.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
27c3e0e3da5a9b      25.1    0.0%     38.0     28.7     10.9    28.3  MIXED
4a3114003643f5      25.0    0.0%      8.6     27.1     23.1    36.8  MIXED
ac6b936e79a462      24.6    0.0%      7.8     27.4     24.7    39.9  MIXED
1c3f77736cfc0e      24.4    0.0%      8.6     16.4     46.3    17.3  MIXED
f072dee57249d8      23.6    0.0%      9.0     19.9     19.4    35.6  MIXED
ad58387e417788      23.6    0.0%      9.3     42.0      9.0    14.2  MIXED
b331559ecd9799      23.5    0.0%      9.3     31.8     20.7    41.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
586925a6f58bae      23.4    0.0%      8.2     48.0     13.1    43.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
d7fc670a7bc9e2      23.3    0.0%      8.2     48.1     13.1    42.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
dc22eb3c02e267      23.2    0.0%      8.2     37.3      8.2    14.7  MIXED
56266011d30345      23.2    0.0%      9.1     14.1      8.2    55.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
4874bbc0f17471      23.0    0.0%      9.2     14.2      8.3    55.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
f5aa54e1764da2      22.7    0.0%      9.3     61.2      8.3    48.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
7993b5104e0ec0      22.7    0.0%      8.9     37.7      9.5    29.5  MIXED
48b6f609218512      22.6    0.0%     24.5     38.8     15.7    31.9  MIXED
3d8a2f7b268095      22.6    0.0%      9.7     62.7      9.4    44.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
cb8701387bb795      22.3    0.0%      8.6     37.2      8.5    30.0  MIXED
490f24d8798545      22.3    0.0%      9.5     62.5      8.6    48.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
0f774fbd5a8f3a      22.2    0.0%      9.5     62.5      8.5    48.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
2e10546dea34c8      22.1    0.0%      8.7     37.8      8.9    29.0  MIXED
8b5b022d3a4570      22.1    0.0%      8.6     32.7     11.5    33.5  MIXED
c844607c81465b      21.9    0.0%      9.7     26.8      8.6    50.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
7c2f34fc5dc382      21.9    0.0%      8.7     33.0     11.5    33.0  MIXED
